 ,Label,Area,X,Y,XM,YM,Major,Minor,Angle,Circ.,Slice,AR,Round,Solidity
547,Step2 test1 3.2x0.63x-1.avi:2.56 s,124,1106.266,888,1106.266,888,15.51,10.179,169.196,0.892,64,1.524,0.656,0.939
548,Step2 test1 3.2x0.63x-1.avi:2.56 s,126,1689.413,1184.492,1689.413,1184.492,15.774,10.171,139.515,0.862,64,1.551,0.645,0.906
549,Step2 test1 3.2x0.63x-1.avi:2.56 s,126,1484.349,1464.563,1484.349,1464.563,15.096,10.627,23.798,0.829,64,1.421,0.704,0.884
550,Step2 test1 3.2x0.63x-1.avi:2.56 s,169,676.896,1526.695,676.896,1526.695,17.449,12.332,57.624,0.889,64,1.415,0.707,0.921
551,Step2 test1 3.2x0.63x-1.avi:2.56 s,165,763.185,1680.088,763.185,1680.088,15.006,14,107.595,0.911,64,1.072,0.933,0.914
552,Step2 test1 3.2x0.63x-1.avi:2.56 s,222,459.604,1801.91,459.604,1801.91,22.307,12.672,43.009,0.824,64,1.76,0.568,0.919
553,Step2 test1 3.2x0.63x-1.avi:2.56 s,139,1157.543,1830.507,1157.543,1830.507,16.344,10.828,123.621,0.858,64,1.509,0.663,0.908
554,Step2 test1 3.2x0.63x-1.avi:2.60 s,153,1164.088,776.278,1164.088,776.278,15.104,12.898,140.74,0.931,65,1.171,0.854,0.927
555,Step2 test1 3.2x0.63x-1.avi:2.60 s,118,1407.102,794.237,1407.102,794.237,15.812,9.502,153.833,0.777,65,1.664,0.601,0.868
556,Step2 test1 3.2x0.63x-1.avi:2.60 s,121,1111.707,889.045,1111.707,889.045,15.606,9.872,164.202,0.885,65,1.581,0.633,0.92
557,Step2 test1 3.2x0.63x-1.avi:2.60 s,130,1685.715,1180.538,1685.715,1180.538,16.544,10.005,138.293,0.755,65,1.654,0.605,0.87
558,Step2 test1 3.2x0.63x-1.avi:2.60 s,130,1480.377,1467.231,1480.377,1467.231,15.389,10.756,23.557,0.856,65,1.431,0.699,0.909
559,Step2 test1 3.2x0.63x-1.avi:2.60 s,179,673.684,1532.372,673.684,1532.372,17.822,12.788,58.435,0.911,65,1.394,0.718,0.927
560,Step2 test1 3.2x0.63x-1.avi:2.60 s,155,764.648,1678.526,764.648,1678.526,14.517,13.595,73.063,0.923,65,1.068,0.937,0.92
561,Step2 test1 3.2x0.63x-1.avi:2.60 s,221,455.536,1806.269,455.536,1806.269,21.905,12.846,43.411,0.844,65,1.705,0.586,0.932
